文件,中文字符串,替换值
game_view.py,支持多种,Supports multiple
game_view.py,显示设置,Display settings
game_view.py,目标帧率,Target frame rate
game_view.py,性能设置,Performance settings
game_view.py,窗口宽度,Window width
game_view.py,要执行的,To execute
game_view.py,窗口高度,Window height
game_view.py,窗口控制,Window control
game_view.py,注意事项,Notes
game_view.py,统计监控,Metrics monitoring
game_view.py,示例用法,Example usage
game_view.py,窗口操作,Window operations
game_view.py,二级工具,Secondary tool
game_view.py,操作类型,Operation type
game_view.py,最大化,Maximize
game_view.py,宽高比,Aspect ratio
game_view.py,帧同步,Frame sync
game_view.py,适用于,Suitable for
game_view.py,操作,Operation
game_view.py,窗口,Window
game_view.py,设置,Settings
game_view.py,内部,Internal
game_view.py,开启,Enable
game_view.py,访问,Access
game_view.py,计数,Count
game_view.py,配置,Configuration
game_view.py,像素,Pixels
game_view.py,获取,Get
game_view.py,关闭,Close
game_view.py,用于,Used for
game_view.py,每,Per
game_view.py,等,Etc.
game_view.py,如,Such as
hierarchy_apply.py,预制体应用和连接操作功能,Prefab apply and link operations
hierarchy_apply.py,应用预制体的更改到实例,Apply prefab changes to instance
hierarchy_apply.py,预制体应用和连接操作,Prefab apply and connection operations
hierarchy_apply.py,覆盖现有的预制体连接,Override existing prefab link
hierarchy_apply.py,支持多种预制体操作,Supports multiple prefab operations
hierarchy_apply.py,要执行的应用操作,Apply operation to perform
hierarchy_apply.py,层次结构应用工具,Hierarchy apply tool
hierarchy_apply.py,是否强制创建连接,Whether to force link creation
hierarchy_apply.py,应用预制体更改,Apply prefab changes
hierarchy_apply.py,断开预制体连接,Disconnect prefab link
hierarchy_apply.py,与预制体的连接,Connection to prefab
hierarchy_apply.py,用于应用操作,Used for apply operations
hierarchy_apply.py,应用操作类型,Apply operation type
hierarchy_apply.py,覆盖现有连接,Override existing link
hierarchy_apply.py,连接到预制体,Link to prefab
hierarchy_apply.py,预制体路径,Prefab path
hierarchy_apply.py,应用预制体,Apply prefab
hierarchy_apply.py,预制体应用,Prefab apply
hierarchy_apply.py,预制体连接,Prefab link
hierarchy_apply.py,应用类型,Apply type
hierarchy_apply.py,用于处理,Used to handle
hierarchy_apply.py,连接断开,Link disconnected
hierarchy_apply.py,强制应用,Force apply
hierarchy_apply.py,二级工具,Secondary tool
hierarchy_apply.py,目标对象,Target object
hierarchy_apply.py,标识符,Identifier
hierarchy_apply.py,适用于,Suitable for
hierarchy_apply.py,目标,Target
hierarchy_apply.py,包含,Include
hierarchy_apply.py,断开,Disconnect
hierarchy_apply.py,将,Will
hierarchy_create.py,用于在场景中创建各种类型的,Used to create various types in the scene
hierarchy_create.py,复制现有对象进行批量创建,Duplicate existing objects for batch creation
hierarchy_create.py,创建基础几何体进行测试,Create basic primitives for testing
hierarchy_create.py,指定预制体的资源路径,Specify prefab asset path
hierarchy_create.py,从预制体创建复杂对象,Create complex objects from prefabs
hierarchy_create.py,创建空对象作为容器,Create empty object as container
hierarchy_create.py,留空则在根层级创建,Leave empty to create at root
hierarchy_create.py,支持多种创建方式,Supports multiple creation methods
hierarchy_create.py,是否保存为预制体,Whether to save as prefab
hierarchy_create.py,菜单系统创建对象,Create object via menu system
hierarchy_create.py,层次结构创建工具,Hierarchy creation tool
hierarchy_create.py,设置激活状态,Set active state
hierarchy_create.py,父对象的实例,Parent object instance
hierarchy_create.py,复制现有对象,Duplicate existing object
hierarchy_create.py,指定图元类型,Specify primitive type
hierarchy_create.py,指定要复制的,Specify source to duplicate
hierarchy_create.py,保存为预制体,Save as prefab
hierarchy_create.py,的父对象名称,Parent object name
hierarchy_create.py,快速原型制作,Rapid prototyping
hierarchy_create.py,是否将创建的,Whether the created
hierarchy_create.py,基础图元类型,Basic primitive type
hierarchy_create.py,创建来源类型,Creation source type
hierarchy_create.py,的创建功能,Creation capability
hierarchy_create.py,预制体路径,Prefab path
hierarchy_create.py,父对象唯一,Unique parent
hierarchy_create.py,复制源对象,Source object to duplicate
hierarchy_create.py,的创建来源,Creation source
hierarchy_create.py,的激活状态,Active state
hierarchy_create.py,缩放比例,Scale
hierarchy_create.py,旋转角度,Rotation
hierarchy_create.py,对象复制,Object duplication
hierarchy_create.py,位置坐标,Position coordinates
hierarchy_create.py,要创建的,To create
hierarchy_create.py,场景构建,Scene construction
hierarchy_create.py,对象名称,Object name
hierarchy_create.py,基础图元,Primitive
hierarchy_create.py,菜单创建,Menu creation
hierarchy_create.py,菜单路径,Menu path
hierarchy_create.py,二级工具,Secondary tool
hierarchy_create.py,适用于,Suitable for
hierarchy_create.py,父对象,Parent object
hierarchy_create.py,创建的,Created
hierarchy_create.py,所在层,Layer
hierarchy_create.py,的标签,Tag
hierarchy_create.py,的名称,Name
hierarchy_create.py,预制体,Prefab
hierarchy_create.py,空对象,Empty object
hierarchy_create.py,设置,Set
hierarchy_create.py,的层,Layer
hierarchy_create.py,通过,Via
hierarchy_create.py,菜单,Menu
hierarchy_create.py,名称,Name
hierarchy_create.py,标签,Tag
hierarchy_create.py,指定,Specify
hierarchy_create.py,包含,Include
hierarchy_create.py,构建,Build
hierarchy_create.py,时,When
hierarchy_create.py,当,When
hierarchy_create.py,为,Is
hierarchy_search.py,是否包含所有子对象的完整层级数据,Whether to include full hierarchy of all children
hierarchy_search.py,此函数仅用于提供参数说明和文档,This function only provides parameter docs
hierarchy_search.py,是否在搜索结果中包含非活动的,Whether to include inactive objects in results
hierarchy_search.py,是否使用正则表达式进行搜索,Whether to use regex for searching
hierarchy_search.py,支持正则表达式和通配符搜索,Supports regex and wildcard search
hierarchy_search.py,包含所有子对象的完整数据,Include complete data of all children
hierarchy_search.py,查找所有符合条件的对象,Find all matching objects
hierarchy_search.py,是否查找所有匹配的项目,Whether to find all matches
hierarchy_search.py,获取完整的父子关系数据,Get full parent-child relations
hierarchy_search.py,检查场景中的对象状态,Check object states in the scene
hierarchy_search.py,时自动使用按名称搜索,Automatically use name search when
hierarchy_search.py,获取对象列表进行处理,Get object list for processing
hierarchy_search.py,获取完整的层级结构,Get full hierarchy
hierarchy_search.py,快速找到特定名称的,Quickly find by specific name
hierarchy_search.py,包含完整层级信息,Includes full hierarchy info
hierarchy_search.py,用于查找场景中的,Used to search in the scene
hierarchy_search.py,层次结构搜索工具,Hierarchy search tool
hierarchy_search.py,支持多种搜索方式,Supports multiple search modes
hierarchy_search.py,支持多种搜索类型,Supports multiple search types
hierarchy_search.py,查找多个匹配项,Find multiple matches
hierarchy_search.py,名称或名称模式,Name or name pattern
hierarchy_search.py,包含非活动对象,Include inactive objects
hierarchy_search.py,实际调用请使用,Use in actual calls
hierarchy_search.py,使用正则表达式,Use regular expressions
hierarchy_search.py,默认搜索功能,Default search feature
hierarchy_search.py,自动化脚本,Automation scripts
hierarchy_search.py,当没有指定,When not specified
hierarchy_search.py,的搜索功能,Search capability
hierarchy_search.py,搜索的类型,Type of search
hierarchy_search.py,调试分析,Debug analysis
hierarchy_search.py,要搜索的,To search
hierarchy_search.py,批量操作,Batch operations
hierarchy_search.py,层级结构,Hierarchy
hierarchy_search.py,重要提示,Important notes
hierarchy_search.py,通用查询,General query
hierarchy_search.py,搜索查询,Search query
hierarchy_search.py,对象定位,Object locating
hierarchy_search.py,二级工具,Secondary tool
hierarchy_search.py,搜索类型,Search type
hierarchy_search.py,按层级,By hierarchy
hierarchy_search.py,按标签,By tag
hierarchy_search.py,新功能,New feature
hierarchy_search.py,按名称,By name
hierarchy_search.py,按组件,By component
hierarchy_search.py,组件等,Components, etc.
hierarchy_search.py,适用于,Suitable for
hierarchy_search.py,函数,Function
hierarchy_search.py,层级,Hierarchy
hierarchy_search.py,标签,Tag
hierarchy_search.py,示例,Example
hierarchy_search.py,包含,Include
hierarchy_search.py,按,By
manage_package.py,是否在搜索结果中包含预发布版本,Whether to include prerelease versions
manage_package.py,搜索包时使用的查询字符串,Query string for package search
manage_package.py,支持多种包管理操作,Supports various package management operations
manage_package.py,添加新的包到项目中,Add a new package to the project
manage_package.py,留空安装最新版本,Leave empty to install latest
manage_package.py,获取包的详细信息,Get package details
manage_package.py,更新包到最新版本,Update package to latest
manage_package.py,移除不需要的包,Remove unwanted package
manage_package.py,包含预发布版本,Include prerelease versions
manage_package.py,要执行的包操作,Package operation to perform
manage_package.py,要操作的包名称,Package name to operate on
manage_package.py,要安装的包版本,Package version to install
manage_package.py,查找可用的包,Find available packages
manage_package.py,操作超时时间,Operation timeout
manage_package.py,包操作类型,Package operation type
manage_package.py,列表等功能,Listing and more
manage_package.py,包含包安装,Includes package installation
manage_package.py,获取包信息,Get package info
manage_package.py,包管理工具,Package management tool
manage_package.py,用于管理,Used to manage
manage_package.py,超时时间,Timeout
manage_package.py,搜索查询,Search query
manage_package.py,二级工具,Secondary tool
manage_package.py,适用于,Suitable for
manage_package.py,搜索包,Search packages
manage_package.py,包更新,Package update
manage_package.py,包安装,Package install
manage_package.py,移除包,Remove package
manage_package.py,列出包,List packages
manage_package.py,中的包,Packages in
manage_package.py,更新包,Update package
manage_package.py,包信息,Package information
manage_package.py,包搜索,Package search
manage_package.py,包名称,Package name
manage_package.py,包管理,Package management
manage_package.py,包版本,Package version
manage_package.py,添加包,Add package
manage_package.py,搜索,Search
manage_package.py,卸载,Uninstall
manage_package.py,秒,Seconds
object_delete.py,支持多种删除方式和智能确认机制,Supports multiple delete modes with smart confirmation
object_delete.py,要删除的对象的层次结构路径,Hierarchy path of the object to delete
object_delete.py,是否强制显示确认对话框,Whether to force confirmation dialog
object_delete.py,删除项目中的资源文件,Delete asset files in the project
object_delete.py,带确认机制的删除操作,Deletion with confirmation
object_delete.py,要删除的对象的实例,Instance of the object to delete
object_delete.py,对象的删除功能,Object deletion feature
object_delete.py,个对象自动删除,Objects auto-deleted
object_delete.py,个显示对话框,Dialogs shown
object_delete.py,对象删除工具,Object deletion tool
object_delete.py,删除多个对象,Delete multiple objects
object_delete.py,删除场景中的,Delete in scene
object_delete.py,场景对象删除,Scene object deletion
object_delete.py,资源和其他,Assets and other
object_delete.py,用于删除,Used to delete
object_delete.py,总是确认,Always confirm
object_delete.py,安全删除,Safe delete
object_delete.py,资源删除,Asset deletion
object_delete.py,批量删除,Bulk delete
object_delete.py,对象路径,Object path
object_delete.py,智能确认,Smart confirmation
object_delete.py,强制确认,Force confirmation
object_delete.py,二级工具,Secondary tool
object_delete.py,适用于,Suitable for
object_delete.py,实例,Instance
object_delete.py,包含,Include
object_delete.py,对象,Object
project_operate.py,目录下的文件夹层次结构和文件数量,Folder hierarchy and file count under the directory
project_operate.py,此函数仅用于提供参数说明和文档,This function only provides parameter docs
project_operate.py,导出资源包用于分享或备份,Export packages for sharing or backup
project_operate.py,导入外部资源文件到项目中,Import external assets into the project
project_operate.py,用于执行各种项目管理操作,Used to perform various project operations
project_operate.py,是否包含资源的依赖项,Whether to include asset dependencies
project_operate.py,包含项目资源管理功能,Includes project asset management
project_operate.py,操作时为根目录路径,Root directory path for the operation
project_operate.py,支持多种项目操作,Supports multiple project operations
project_operate.py,删除不需要的资源,Delete unnecessary assets
project_operate.py,要执行的项目操作,Project operation to perform
project_operate.py,获取文件夹结构,Get folder structure
project_operate.py,实际调用请使用,Use in actual calls
project_operate.py,创建文件夹结构,Create folder structure
project_operate.py,清理无效引用,Clean invalid references
project_operate.py,项目操作类型,Project operation type
project_operate.py,刷新项目状态,Refresh project status
project_operate.py,项目操作工具,Project operation tool
project_operate.py,导出包的名称,Name of the exported package
project_operate.py,操作时使用,Used during operation
project_operate.py,复制时使用,Used when copying
project_operate.py,创建文件夹,Create folders
project_operate.py,文件夹结构,Folder structure
project_operate.py,源文件路径,Source file path
project_operate.py,项目组织,Project organization
project_operate.py,导入资源,Import assets
project_operate.py,删除资源,Delete assets
project_operate.py,资源管理,Asset management
project_operate.py,项目维护,Project maintenance
project_operate.py,目标路径,Target path
project_operate.py,标准格式,Standard format
project_operate.py,资产路径,Asset path
project_operate.py,包含依赖,Include dependencies
project_operate.py,刷新项目,Refresh project
project_operate.py,重要提示,Important notes
project_operate.py,二级工具,Secondary tool
project_operate.py,源路径,Source path
project_operate.py,包名称,Package name
project_operate.py,包管理,Package management
project_operate.py,适用于,Suitable for
project_operate.py,导出包,Export package
project_operate.py,函数,Function
project_operate.py,仅在,Only when
project_operate.py,操作,Operation
project_operate.py,移动,Move
project_operate.py,示例,Example
project_operate.py,格式,Format
project_operate.py,查看,View
project_operate.py,默认,Default
project_search.py,用于在项目中搜索各种类型的资源和文件,Used to search various assets and files in the project
project_search.py,按文件类型和名称模式搜索项目资源,Search assets by type and name pattern
project_search.py,获取同类型文件列表进行批量操作,Get files of the same type for batch ops
project_search.py,查找指定资源依赖的所有其他资源,Find all dependencies of a given asset
project_search.py,查找引用了指定资源的所有资源,Find all assets referencing a given asset
project_search.py,查找哪些资源引用了指定资源,Find which assets reference the given asset
project_search.py,支持多种搜索类型和过滤条件,Supports multiple search types and filters
project_search.py,这里应该是完整的资源路径,This should be a full asset path
project_search.py,是否递归获取所有间接依赖,Whether to get indirect dependencies recursively
project_search.py,限制搜索范围的文件夹路径,Folder path limiting the search scope
project_search.py,查找未使用或重复的资源,Find unused or duplicate assets
project_search.py,限制返回的最大结果数量,Limit on maximum results
project_search.py,这是查找引用的搜索范围,This is the scope to search references
project_search.py,找到特定名称的资源文件,Find asset by specific name
project_search.py,查找资源的所有依赖项,Find all dependencies of an asset
project_search.py,文件名模式或资源路径,Filename pattern or asset path
project_search.py,搜索时是否区分大小写,Case sensitivity when searching
project_search.py,包含项目资源搜索功能,Includes project asset search
project_search.py,是否在搜索结果中包含,Whether to include in results
project_search.py,留空搜索整个项目,Leave empty to search entire project
project_search.py,是否搜索子文件夹,Whether to search subfolders
project_search.py,如场景依赖的材质,E.g., materials depended on by a scene
project_search.py,要搜索的目标类型,Target type to search
project_search.py,搜索类型说明,Search type description
project_search.py,反向依赖查找,Reverse dependency lookup
project_search.py,搜索目标类型,Search target type
project_search.py,目录下的文件,Files under the directory
project_search.py,项目搜索工具,Project search tool
project_search.py,对于普通搜索,For basic searches
project_search.py,搜索关键词,Search keywords
project_search.py,包含包文件,Include package files
project_search.py,区分大小写,Case sensitive
project_search.py,最大结果数,Max results
project_search.py,搜索文件夹,Search folder
project_search.py,资源文件,Asset files
project_search.py,项目清理,Project cleanup
project_search.py,场景文件,Scene files
project_search.py,脚本文件,Script files
project_search.py,批量处理,Batch processing
project_search.py,依赖分析,Dependency analysis
project_search.py,引用查找,Reference search
project_search.py,其他类型,Other types
project_search.py,快速定位,Quick locate
project_search.py,搜索查询,Search query
project_search.py,递归搜索,Recursive search
project_search.py,二级工具,Secondary tool
project_search.py,预制体,Prefab
project_search.py,着色器,Shader
project_search.py,网格等,Meshes, etc.
project_search.py,依赖项,Dependencies
project_search.py,适用于,Suitable for
project_search.py,搜索,Search
project_search.py,对于,For
project_search.py,动画,Animation
project_search.py,材质,Material
project_search.py,纹理,Texture
project_search.py,音频,Audio
project_search.py,模型,Model
project_search.py,时,When
project_search.py,当,When
project_search.py,为,Is
request_http.py,用于执行各种网络操作,Used to perform various network operations
request_http.py,要执行的网络操作,Network operation to perform
request_http.py,批量下载多个文件,Batch download multiple files
request_http.py,支持多种网络操作,Supports multiple network operations
request_http.py,是否接受所有证书,Whether to accept all certificates
request_http.py,用户代理字符串,User-Agent string
request_http.py,下载和上传文件,Download and upload files
request_http.py,是否跟随重定向,Whether to follow redirects
request_http.py,请求操作类型,Request operation type
request_http.py,网络请求工具,Network request tool
request_http.py,用于批量下载,Used for batch download
request_http.py,和连接测试,And connectivity tests
request_http.py,或绝对路径,Or absolute path
request_http.py,请求头字典,Request headers dictionary
request_http.py,跟随重定向,Follow redirects
request_http.py,调用等功能,Invoke and related features
request_http.py,文件路径,File path
request_http.py,用于测试,Used for testing
request_http.py,基本认证,Basic authentication
request_http.py,用户代理,User agent
request_http.py,请求数据,Request data
request_http.py,接受证书,Accept certificates
request_http.py,用于下载,Used for download
request_http.py,文本编码,Text encoding
request_http.py,文件操作,File operations
request_http.py,网络测试,Network testing
request_http.py,重试次数,Retry count
request_http.py,超时时间,Timeout
request_http.py,表单数据,Form data
request_http.py,认证令牌,Bearer token
request_http.py,重试延迟,Retry delay
request_http.py,进行交互,Perform interactions
request_http.py,批量操作,Batch operations
request_http.py,查询参数,Query parameters
request_http.py,批量下载,Batch download
request_http.py,保存路径,Save path
request_http.py,下载文件,Download file
request_http.py,文件下载,File download
request_http.py,内容类型,Content-Type
request_http.py,上传文件,Upload file
request_http.py,二级工具,Secondary tool
request_http.py,用于上传,Used for upload
request_http.py,适用于,Suitable for
request_http.py,等标准,And standard options
request_http.py,请求的,Requested
request_http.py,用户名,Username
request_http.py,相对于,Relative to
request_http.py,与外部,With external
request_http.py,键值对,Key-value pairs
request_http.py,请求头,Request headers
request_http.py,方法,Method
request_http.py,调用,Invoke
request_http.py,列表,List
request_http.py,密码,Password
request_http.py,请求,Request
request_http.py,地址,Address
request_http.py,包含,Include
request_http.py,格式,Format
request_http.py,默认,Default
request_http.py,数组,Array
request_http.py,用于,Used for
request_http.py,等,Etc.
request_http.py,秒,Seconds
run_code.py,执行完成后是否自动清理临时文件和变量,Whether to auto-clean temp files and variables after execution
run_code.py,此函数仅用于提供参数说明和文档,This function only provides parameter docs
run_code.py,代码执行或包安装的超时时间,Timeout for code execution or package install
run_code.py,执行完成后是否清理临时文件,Whether to clean temp files after execution
run_code.py,支持顶层语句和完整类定义,Supports top-level statements and full class definitions
run_code.py,代码编译和执行的超时时间,Timeout for compile and run
run_code.py,是否捕获并返回控制台输出,Whether to capture and return console output
run_code.py,运行调试和分析代码,Run, debug, and analyze code
run_code.py,默认引用的命名空间,Default imported namespaces
run_code.py,要编译执行或验证的,To compile, run, or validate
run_code.py,代码编译执行功能,Code compile-and-run capability
run_code.py,支持两种代码格式,Supports two code formats
run_code.py,留空安装最新版本,Leave empty to install latest
run_code.py,验证语法和安装包,Validate syntax and install packages
run_code.py,要安装的包版本号,Package version to install
run_code.py,代码语法正确性,Code syntax correctness
run_code.py,自动包装为方法,Auto-wrap as a method
run_code.py,要执行或验证的,To execute or validate
run_code.py,引用的命名空间,Referenced namespaces
run_code.py,代码和语法验证,Code and syntax validation
run_code.py,实际调用请使用,Use in actual calls
run_code.py,支持编译执行,Supports compile & run
run_code.py,等库处理数据,Use libraries to process data
run_code.py,入口方法名称,Entry method name
run_code.py,等库处理图像,Use libraries for image processing
run_code.py,代码运行工具,Code execution tool
run_code.py,等库创建模型,Use libraries to build models
run_code.py,操作时使用,Used during operation
run_code.py,入口方法名,Entry method
run_code.py,完整类定义,Full class definition
run_code.py,代码执行和,Code execution and
run_code.py,执行复杂的,Execute complex
run_code.py,的完整代码,Complete code
run_code.py,直接写代码,Write code directly
run_code.py,提供完整的,Provide complete
run_code.py,自动化操作,Automation operations
run_code.py,支持完整的,Fully supported
run_code.py,调试工具,Debugging tools
run_code.py,快速原型,Rapid prototyping
run_code.py,脚本验证,Script validation
run_code.py,访问权限,Access permissions
run_code.py,数据处理,Data processing
run_code.py,二级工具,Secondary tool
run_code.py,数组格式,Array format
run_code.py,语句列表,Statement list
run_code.py,返回输出,Return output
run_code.py,自动清理,Auto clean
run_code.py,运行环境,Runtime environment
run_code.py,支持执行,Supports execution
run_code.py,编译执行,Compile and run
run_code.py,验证代码,Validate code
run_code.py,对象操作,Object operations
run_code.py,图像处理,Image processing
run_code.py,超时时间,Timeout
run_code.py,要执行的,To execute
run_code.py,验证语法,Validate syntax
run_code.py,机器学习,Machine learning
run_code.py,重要提示,Important notes
run_code.py,方法参数,Method parameters
run_code.py,命名空间,Namespace
run_code.py,执行代码,Execute code
run_code.py,默认包含,Included by default
run_code.py,操作类型,Operation type
run_code.py,顶层语句,Top-level statements
run_code.py,要安装的,To install
run_code.py,包名称,Package name
run_code.py,适用于,Suitable for
run_code.py,引用的,Referenced
run_code.py,默认为,Defaults to
run_code.py,包版本,Package version
run_code.py,安装包,Install package
run_code.py,等模型,And models
run_code.py,验证,Validate
run_code.py,使用,Use
run_code.py,默认,Default
run_code.py,调用,Call
run_code.py,支持,Support
run_code.py,模型,Model
run_code.py,类名,Class name
run_code.py,函数,Function
run_code.py,操作,Operation
run_code.py,访问,Access
run_code.py,测试,Test
run_code.py,建模,Modeling
run_code.py,仅在,Only when
run_code.py,代码,Code
run_code.py,编码,Encoding
run_code.py,运行,Run
run_code.py,示例,Example
run_code.py,包含,Include
run_code.py,创建,Create
run_code.py,秒,Seconds
run_code.py,如,Such as
storage_prefers.py,临时存储调试信息和工作状态,Temporarily store debug info and work state
storage_prefers.py,操作会删除所有偏好设置,Operation will delete all preferences
storage_prefers.py,操作时键不存在时返回,Return when key does not exist
storage_prefers.py,要执行的偏好设置操作,Preference operation to perform
storage_prefers.py,保存用户的个性化设置,Save user preferences
storage_prefers.py,不支持直接枚举所有键,Enumerating all keys is not supported
storage_prefers.py,保存和读取编辑器设置,Save and read editor settings
storage_prefers.py,支持多种偏好设置操作,Supports multiple preference operations
storage_prefers.py,保存和读取玩家数据,Save and read player data
storage_prefers.py,需要使用已知的键名,Requires a known key name
storage_prefers.py,存储在编辑器层面,Stored at editor level
storage_prefers.py,偏好设置管理工具,Preferences management tool
storage_prefers.py,偏好设置操作类型,Preference operation type
storage_prefers.py,检查键是否存在,Check if key exists
storage_prefers.py,偏好设置的键名,Preference key name
storage_prefers.py,存储在应用层面,Stored at application level
storage_prefers.py,大多数操作需要,Most operations require
storage_prefers.py,不同项目共享,Shared across projects
storage_prefers.py,的存储和检索,Storage and retrieval of
storage_prefers.py,要设置的值,Value to set
storage_prefers.py,跟随应用走,Tied to the application
storage_prefers.py,编辑器偏好,Editor preferences
storage_prefers.py,删除指定键,Delete specified key
storage_prefers.py,编辑器配置,Editor configuration
storage_prefers.py,请谨慎使用,Use with caution
storage_prefers.py,开发工具,Development tools
storage_prefers.py,用于管理,Used to manage
storage_prefers.py,操作需要,Operation requires
storage_prefers.py,用户偏好,User preferences
storage_prefers.py,玩家偏好,Player preferences
storage_prefers.py,游戏存档,Game saves
storage_prefers.py,删除所有,Delete all
storage_prefers.py,注意事项,Notes
storage_prefers.py,示例用法,Example usage
storage_prefers.py,检查存在,Check existence
storage_prefers.py,二级工具,Secondary tool
storage_prefers.py,偏好类型,Preference type
storage_prefers.py,字符串,String
storage_prefers.py,值类型,Value type
storage_prefers.py,默认值,Default value
storage_prefers.py,适用于,Suitable for
storage_prefers.py,设置,Set
storage_prefers.py,整数,Integer
storage_prefers.py,删除,Delete
storage_prefers.py,键名,Key name
storage_prefers.py,获取,Get
storage_prefers.py,工具,Tool
storage_prefers.py,默认,Default
