文件,中文字符串,替换值
Editor\Connection\McpService.cs,尝试下一个端口,Try next port
Editor\Connection\McpService.cs,正常的连接关闭,Normal connection closure
Editor\Connection\McpService.cs,等待客户端连接,Waiting for client connection
Editor\Connection\McpService.cs,错误响应已设置,Error response set
Editor\Connection\McpService.cs,客户端处理异常,Exception occurred while handling client
Editor\Connection\McpService.cs,让它在后台执行,Run it in the background
Editor\Connection\McpService.cs,命令处理已注册,Command handler registered
Editor\Connection\McpService.cs,命令处理已注销,Command handler unregistered
Editor\Connection\McpService.cs,无法在端口范围,Cannot operate within port range
Editor\Connection\McpService.cs,命令已加入队列,Command added to queue
Editor\Connection\McpService.cs,连接关闭异常,Connection closed unexpectedly
Editor\Connection\McpService.cs,中获取到工具,Tool obtained from
Editor\Connection\McpService.cs,开始执行命令,Begin executing command
Editor\Connection\McpService.cs,工具执行完成,Tool execution completed
Editor\Connection\McpService.cs,请求获取工具,Request to fetch tool
Editor\Connection\McpService.cs,客户端信息类,Client info class
Editor\Connection\McpService.cs,命令处理完成,Command processing finished
Editor\Connection\McpService.cs,监听器已关闭,Listener closed
Editor\Connection\McpService.cs,命令执行失败,Command execution failed
Editor\Connection\McpService.cs,命令类型为空,Command type is empty
Editor\Connection\McpService.cs,接收到长度为,Received length is
Editor\Connection\McpService.cs,接收到空命令,Received empty command
Editor\Connection\McpService.cs,通用函数执行,General function execution
Editor\Connection\McpService.cs,工具缓存完成,Tool cache initialized
Editor\Connection\McpService.cs,防止内存问题,Prevent memory issues
Editor\Connection\McpService.cs,命令执行成功,Command executed successfully
Editor\Connection\McpService.cs,工具缓存为空,Tool cache is empty
Editor\Connection\McpService.cs,字节长度前缀,Byte length prefix
Editor\Connection\McpService.cs,读取日志设置,Read log settings
Editor\Connection\McpService.cs,其他命令类型,Other command types
Editor\Connection\McpService.cs,静态工具类型,Static tool type
Editor\Connection\McpService.cs,异步执行命令,Execute command asynchronously
Editor\Connection\McpService.cs,监听器已停止,Listener stopped
Editor\Connection\McpService.cs,实例正在运行,Instance is running
Editor\Connection\McpService.cs,网络写入错误,Network write error
Editor\Connection\McpService.cs,但不等待结果,But do not wait for result
Editor\Connection\McpService.cs,客户端已连接,Client connected
Editor\Connection\McpService.cs,使用默认方式,Use default mode
Editor\Connection\McpService.cs,响应已发送,Response sent
Editor\Connection\McpService.cs,接收到命令,Command received
Editor\Connection\McpService.cs,尝试在端口,Trying on port
Editor\Connection\McpService.cs,监听器错误,Listener error
Editor\Connection\McpService.cs,类型和实例,Type and instance
Editor\Connection\McpService.cs,记录具体的,Logging details
Editor\Connection\McpService.cs,真正的错误,Actual error
Editor\Connection\McpService.cs,服务已停止,Service stopped
Editor\Connection\McpService.cs,未找到工具,Tool not found
Editor\Connection\McpService.cs,修正为标准,Corrected to standard
Editor\Connection\McpService.cs,消息过大,Message too large
Editor\Connection\McpService.cs,安全检查,Security check
Editor\Connection\McpService.cs,执行命令,Execute command
Editor\Connection\McpService.cs,启动完成,Startup completed
Editor\Connection\McpService.cs,正在停止,Stopping
Editor\Connection\McpService.cs,已被占用,Already in use
Editor\Connection\McpService.cs,队列长度,Queue length
Editor\Connection\McpService.cs,找到工具,Tool found
Editor\Connection\McpService.cs,命令参数,Command parameters
Editor\Connection\McpService.cs,正常关闭,Closed normally
Editor\Connection\McpService.cs,可用工具,Available tools
Editor\Connection\McpService.cs,辅助方法,Helper method
Editor\Connection\McpService.cs,不是错误,Not an error
Editor\Connection\McpService.cs,正在启动,Starting
Editor\Connection\McpService.cs,反序列化,Deserialization
Editor\Connection\McpService.cs,开始解析,Start parsing
Editor\Connection\McpService.cs,发送消息,Send message
Editor\Connection\McpService.cs,处理命令,Processing command
Editor\Connection\McpService.cs,最后错误,Last error
Editor\Connection\McpService.cs,启动失败,Startup failed
Editor\Connection\McpService.cs,缓存工具,Cached tools
Editor\Connection\McpService.cs,动态判断,Dynamically determine
Editor\Connection\McpService.cs,监听器,Listener
Editor\Connection\McpService.cs,的消息,Message of
Editor\Connection\McpService.cs,成功时,On success
Editor\Connection\McpService.cs,名拼接,Name concatenation
Editor\Connection\McpService.cs,内启动,Internal startup
Editor\Connection\McpService.cs,默认为,Default to
Editor\Connection\McpService.cs,已处理,Processed
Editor\Connection\McpService.cs,共缓存,Total cached
Editor\Connection\McpService.cs,个工具,tools
Editor\Connection\McpService.cs,而不是,Instead of
Editor\Connection\McpService.cs,个命令,commands
Editor\Connection\McpService.cs,结果,Result
Editor\Connection\McpService.cs,记录,Record
Editor\Connection\McpService.cs,使用,Use
Editor\Connection\McpService.cs,缓存,Cache
Editor\Connection\McpService.cs,失败,Failure
Editor\Connection\McpService.cs,端口,Port
Editor\Connection\McpService.cs,读取,Read
Editor\Connection\McpService.cs,限制,Limit
Editor\Connection\McpService.cs,命令,Command
Editor\Connection\McpService.cs,为空,Is empty
Editor\Connection\McpService.cs,无效,Invalid
Editor\Connection\McpService.cs,中的,In
Editor\Connection\McpService.cs,启动,Start
Editor\Connection\McpService.cs,最大,Maximum
Editor\Connection\McpService.cs,实例,Instance
Editor\Connection\McpService.cs,获取,Get
Editor\Connection\McpService.cs,根据,According to
Editor\Connection\McpService.cs,处理,Handle
Editor\Connection\McpService.cs,字段,Field
Editor\Connection\McpService.cs,格式,Format
Editor\Connection\McpService.cs,在,At
Editor\Connection\McpService.cs,和,And
Editor\Connection\McpService.cs,从,From
Editor\Executer\BatchCall.cs,批量调用初始化过程中发生未预期错误,Unexpected error during batch call initialization
Editor\Executer\BatchCall.cs,方法查找或执行设置过程中的异常,Exception during method lookup or execution setup
Editor\Executer\BatchCall.cs,异步顺序执行指定索引的函数,Asynchronously execute function at specified index in sequence
Editor\Executer\BatchCall.cs,只有所有调用都成功时才返回,Only returns if all calls succeed
Editor\Executer\BatchCall.cs,将中断执行并返回错误信息,Execution will be interrupted and error returned
Editor\Executer\BatchCall.cs,个函数调用必须是对象类型,Each function call must be an object
Editor\Executer\BatchCall.cs,保存当前函数的执行结果,Save current function's execution result
Editor\Executer\BatchCall.cs,统计成功和失败的调用数,Count successful and failed calls
Editor\Executer\BatchCall.cs,如果所有函数都执行完毕,If all functions are executed
Editor\Executer\BatchCall.cs,异步执行单个函数调用,Asynchronously execute a single function call
Editor\Executer\BatchCall.cs,检查执行结果是否成功,Check if the execution result is successful
Editor\Executer\BatchCall.cs,验证函数调用对象格式,Validate function call object format
Editor\Executer\BatchCall.cs,完成后递归执行下一个,Recursively execute the next after completion
Editor\Executer\BatchCall.cs,查找对应的工具方法,Find the corresponding tool method
Editor\Executer\BatchCall.cs,或无效结果视为失败,Or invalid result as failure
Editor\Executer\BatchCall.cs,字段必须是对象类型,The field must be an object
Editor\Executer\BatchCall.cs,调用回调并传递结果,Invoke callback and pass result
Editor\Executer\BatchCall.cs,创建中断执行的响应,Create response for interrupted execution
Editor\Executer\BatchCall.cs,执行过程中出现异常,Exception occurred during execution
Editor\Executer\BatchCall.cs,继续执行下一个函数,Continue to next function
Editor\Executer\BatchCall.cs,中断执行并返回错误,Interrupt execution and return error
Editor\Executer\BatchCall.cs,如果没有函数调用,If there are no function calls
Editor\Executer\BatchCall.cs,如果遇到执行错误,If execution error encountered
Editor\Executer\BatchCall.cs,开始异步顺序执行,Start asynchronous sequential execution
Editor\Executer\BatchCall.cs,个函数时遇到错误,Error when executing function
Editor\Executer\BatchCall.cs,确保方法已注册,Ensure the method is registered
Editor\Executer\BatchCall.cs,个函数调用失败,Function call failed
Editor\Executer\BatchCall.cs,创建执行上下文,Create execution context
Editor\Executer\BatchCall.cs,字段无效或为空,Field is invalid or empty
Editor\Executer\BatchCall.cs,初始化结果列表,Initialize the result list
Editor\Executer\BatchCall.cs,检查结果中的,Check in the result
Editor\Executer\BatchCall.cs,中断后续执行,Interrupt subsequent execution
Editor\Executer\BatchCall.cs,批量执行中断,Batch execution interrupted
Editor\Executer\BatchCall.cs,如果执行失败,If execution failed
Editor\Executer\BatchCall.cs,返回最终结果,Return the final result
Editor\Executer\BatchCall.cs,个函数调用的,Function call of
Editor\Executer\BatchCall.cs,异步执行方法,Asynchronous execution method
Editor\Executer\BatchCall.cs,应该是对象,Should be object
Editor\Executer\BatchCall.cs,直接返回,Return directly
Editor\Executer\BatchCall.cs,中断执行,Interrupt execution
Editor\Executer\BatchCall.cs,成功执行,Executed successfully
Editor\Executer\BatchCall.cs,异步版本,Asynchronous version
Editor\Executer\BatchCall.cs,执行到第,Executed to
Editor\Executer\BatchCall.cs,字段,Field
Editor\Executer\BatchCall.cs,提取,Extract
Editor\Executer\BatchCall.cs,验证,Validate
Editor\Executer\BatchCall.cs,第,No.
Editor\Executer\BatchCall.cs,和,And
Editor\Executer\DualStateMethodBase.cs,所有需要双阶段处理的工具方法类应继承此类,All tool method classes requiring dual-phase processing should inherit from this class
Editor\Executer\DualStateMethodBase.cs,子类必须实现此方法来定义目标定位逻辑,Subclass must implement this method for target location logic
Editor\Executer\DualStateMethodBase.cs,子类必须实现此方法来定义操作执行逻辑,Subclass must implement this method for operation execution logic
Editor\Executer\DualStateMethodBase.cs,子类可用此方法记录执行过程中的信息,Subclass can use this method to log information during execution
Editor\Executer\DualStateMethodBase.cs,提供基于两棵状态树的方法调用框架,Provides a method invocation framework based on two state trees
Editor\Executer\DualStateMethodBase.cs,子类必须实现此方法来定义参数键,Subclass must implement this method to define parameter keys
Editor\Executer\DualStateMethodBase.cs,定义该方法接受的所有可能参数键,Define all possible parameter keys accepted by this method
Editor\Executer\DualStateMethodBase.cs,用于调试和可视化状态路由逻辑,For debugging and visualizing the state routing logic
Editor\Executer\DualStateMethodBase.cs,创建执行操作状态树的抽象方法,Abstract method for creating the operation execution state tree
Editor\Executer\DualStateMethodBase.cs,创建目标定位状态树的抽象方法,Abstract method for creating the target locating state tree
Editor\Executer\DualStateMethodBase.cs,配置好的目标定位状态树实例,Configured target locating state tree instance
Editor\Executer\DualStateMethodBase.cs,配置好的执行操作状态树实例,Configured operation execution state tree instance
Editor\Executer\DualStateMethodBase.cs,然后通过执行操作树执行操作,Then perform operations through the execution state tree
Editor\Executer\DualStateMethodBase.cs,首先通过目标定位树找到目标,First locate the target via the target state tree
Editor\Executer\DualStateMethodBase.cs,当前方法支持的参数键列表,List of parameter keys supported by this method
Editor\Executer\DualStateMethodBase.cs,创建参数键列表的抽象方法,Abstract method to create parameter key list
Editor\Executer\DualStateMethodBase.cs,创建执行上下文并执行操作,Create execution context and perform operation
Editor\Executer\DualStateMethodBase.cs,检查目标定位阶段的错误,Check errors in target locating phase
Editor\Executer\DualStateMethodBase.cs,检查执行操作阶段的错误,Check errors in operation execution phase
Editor\Executer\DualStateMethodBase.cs,使用目标定位树找到目标,Use the target state tree to find target
Editor\Executer\DualStateMethodBase.cs,第二棵树用于执行操作,The second tree is for operation execution
Editor\Executer\DualStateMethodBase.cs,否则返回原始目标结果,Otherwise return original target result
Editor\Executer\DualStateMethodBase.cs,第一棵树用于目标定位,The first tree is for target location
Editor\Executer\DualStateMethodBase.cs,子类必须实现此属性,Subclass must implement this property
Editor\Executer\DualStateMethodBase.cs,方法调用的参数对象,Parameter object for method invocation
Editor\Executer\DualStateMethodBase.cs,文档生成和参数验证,Documentation generation and parameter validation
Editor\Executer\DualStateMethodBase.cs,目标定位状态树实例,Target locating state tree instance
Editor\Executer\DualStateMethodBase.cs,执行操作状态树实例,Operation execution state tree instance
Editor\Executer\DualStateMethodBase.cs,确保状态树已初始化,Ensure that state trees are initialized
Editor\Executer\DualStateMethodBase.cs,双状态树的文本表示,Text representation of dual state trees
Editor\Executer\DualStateMethodBase.cs,用于定位操作目标,For locating operation target
Editor\Executer\DualStateMethodBase.cs,表示已是最终响应,Indicates final response
Editor\Executer\DualStateMethodBase.cs,双状态树方法基类,Dual state tree method base class
Editor\Executer\DualStateMethodBase.cs,用于执行具体操作,For performing specific operations
Editor\Executer\DualStateMethodBase.cs,要记录的日志消息,Log message to record
Editor\Executer\DualStateMethodBase.cs,供后续操作树处理,For subsequent operation tree processing
Editor\Executer\DualStateMethodBase.cs,处理目标定位结果,Handle results of target location
Editor\Executer\DualStateMethodBase.cs,预览双状态树结构,Preview dual state tree structure
Editor\Executer\DualStateMethodBase.cs,首次访问时才创建,Create only on first access
Editor\Executer\DualStateMethodBase.cs,如果目标结果是,If target result is
Editor\Executer\DualStateMethodBase.cs,字段的匿名对象,Field's anonymous object
Editor\Executer\DualStateMethodBase.cs,记录信息日志,Log informational message
Editor\Executer\DualStateMethodBase.cs,异步执行完成,Asynchronous execution completed
Editor\Executer\DualStateMethodBase.cs,执行工具方法,Execute tool method
Editor\Executer\DualStateMethodBase.cs,避免重复创建,Avoid duplicate creation
Editor\Executer\DualStateMethodBase.cs,的缓存字段,Cached field of
Editor\Executer\DualStateMethodBase.cs,分两个阶段,In two phases
Editor\Executer\DualStateMethodBase.cs,执行目标树,Execute target tree
Editor\Executer\DualStateMethodBase.cs,懒加载模式,Lazy loading mode
Editor\Executer\DualStateMethodBase.cs,判断是否为,Determine if is
Editor\Executer\DualStateMethodBase.cs,则直接返回,Then return directly
Editor\Executer\DualStateMethodBase.cs,执行操作树,Execute operation tree
Editor\Executer\DualStateMethodBase.cs,完成执行,Execution finished
Editor\Executer\DualStateMethodBase.cs,第一阶段,First phase
Editor\Executer\DualStateMethodBase.cs,第二阶段,Second phase
Editor\Executer\DualStateMethodBase.cs,时输出,Output when
Editor\Executer\DualStateMethodBase.cs,即包含,That includes
Editor\Executer\DualStateMethodBase.cs,接口,Interface
Editor\Executer\DualStateMethodBase.cs,字段,Field
Editor\Executer\DualStateMethodBase.cs,仅在,Only at
Editor\Executer\DualStateMethodBase.cs,类型,Type
Editor\Executer\DualStateMethodBase.cs,用于,Used for
Editor\Executer\DualStateMethodBase.cs,实现,Implement
Editor\Executer\DualStateMethodBase.cs,数组,Array
Editor\Executer\DualStateMethodBase.cs,为,As
Editor\Executer\IToolMethod.cs,所有具体工具类都应实现此接口,All concrete tool classes must implement this interface
Editor\Executer\IToolMethod.cs,工具方法接口,Tool method interface
Editor\Executer\IToolMethod.cs,保持向后兼容,Remain backward compatible
Editor\Executer\IToolMethod.cs,执行工具方法,Execute tool method
Editor\Executer\IToolMethod.cs,参数对象,Parameter object
Editor\Executer\IToolMethod.cs,同步版本,Synchronous version
Editor\Executer\IToolMethod.cs,预览方法,Preview method
Editor\Executer\IToolMethod.cs,执行结果,Execution result
Editor\Executer\IToolMethod.cs,预览结果,Preview result
Editor\Executer\McpTool.cs,保持向后兼容,Remain backward compatible
Editor\Executer\McpTool.cs,或其他类型,Or other type
Editor\Executer\McpTool.cs,命令参数,Command parameters
Editor\Executer\McpTool.cs,同步版本,Synchronous version
Editor\Executer\McpTool.cs,处理命令,Process command
Editor\Executer\McpTool.cs,处理结果,Process result
Editor\Executer\McpTool.cs,可以是,Can be
Editor\Executer\McpTool.cs,类型,Type
Editor\Executer\SingleCall.cs,查找对应的工具方法,Find the corresponding tool method
Editor\Executer\SingleCall.cs,确保方法已注册,Ensure method is registered
Editor\Executer\SingleCall.cs,调用工具的,Call tool's
Editor\Executer\SingleCall.cs,同步版本,Synchronous version
Editor\Executer\SingleCall.cs,方法,Method
Editor\Executer\StateMethodBase.cs,子类必须实现此方法来定义状态路由逻辑,Subclass must implement this method to define state routing logic
Editor\Executer\StateMethodBase.cs,子类可用此方法记录执行过程中的信息,Subclass can use this method to log information during execution
Editor\Executer\StateMethodBase.cs,通过状态树路由到对应的处理方法,Route to the corresponding handler via the state tree
Editor\Executer\StateMethodBase.cs,子类必须实现此方法来定义参数键,Subclass must implement this method to define parameter keys
Editor\Executer\StateMethodBase.cs,若状态树执行失败则返回错误响应,Return error response if state tree execution fails
Editor\Executer\StateMethodBase.cs,定义该方法接受的所有可能参数键,Define all possible parameter keys accepted by this method
Editor\Executer\StateMethodBase.cs,用于调试和可视化状态路由逻辑,For debugging and visualizing state routing logic
Editor\Executer\StateMethodBase.cs,提供基于状态树的方法调用框架,Provide method call framework based on state tree
Editor\Executer\StateMethodBase.cs,所有工具方法类应继承此类,All tool method classes should inherit from this class
Editor\Executer\StateMethodBase.cs,当前方法支持的参数键列表,List of parameter keys supported by this method
Editor\Executer\StateMethodBase.cs,创建参数键列表的抽象方法,Abstract method for creating parameter key list
Editor\Executer\StateMethodBase.cs,如果结果为空且有错误信息,If the result is empty and there is an error message
Editor\Executer\StateMethodBase.cs,方法来定义状态路由逻辑,Method to define state routing logic
Editor\Executer\StateMethodBase.cs,用于路由和执行方法调用,For routing and executing method calls
Editor\Executer\StateMethodBase.cs,创建状态树的抽象方法,Abstract method for creating state tree
Editor\Executer\StateMethodBase.cs,子类必须实现此属性,Subclass must implement this property
Editor\Executer\StateMethodBase.cs,方法调用的参数对象,Parameter object for method call
Editor\Executer\StateMethodBase.cs,文档生成和参数验证,Documentation generation and parameter validation
Editor\Executer\StateMethodBase.cs,配置好的状态树实例,Configured state tree instance
Editor\Executer\StateMethodBase.cs,确保状态树已初始化,Ensure that the state tree is initialized
Editor\Executer\StateMethodBase.cs,要记录的日志消息,Log message to record
Editor\Executer\StateMethodBase.cs,状态树的文本表示,Text representation of state tree
Editor\Executer\StateMethodBase.cs,首次访问时才创建,Only create upon first access
Editor\Executer\StateMethodBase.cs,预览状态树结构,Preview state tree structure
Editor\Executer\StateMethodBase.cs,记录信息日志,Log informational message
Editor\Executer\StateMethodBase.cs,避免重复创建,Avoid duplicate creation
Editor\Executer\StateMethodBase.cs,状态方法基类,State method base class
Editor\Executer\StateMethodBase.cs,返回错误响应,Return error response
Editor\Executer\StateMethodBase.cs,执行工具方法,Execute tool method
Editor\Executer\StateMethodBase.cs,的缓存字段,Cached field of
Editor\Executer\StateMethodBase.cs,懒加载模式,Lazy loading mode
Editor\Executer\StateMethodBase.cs,状态树实例,State tree instance
Editor\Executer\StateMethodBase.cs,同步版本,Synchronous version
Editor\Executer\StateMethodBase.cs,异步执行,Asynchronous execution
Editor\Executer\StateMethodBase.cs,执行结果,Execution result
Editor\Executer\StateMethodBase.cs,时输出,Output when
Editor\Executer\StateMethodBase.cs,并实现,And implement
Editor\Executer\StateMethodBase.cs,接口,Interface
Editor\Executer\StateMethodBase.cs,实现,Implement
Editor\Executer\StateMethodBase.cs,数组,Array
Editor\Executer\StateMethodBase.cs,仅在,Only at
Editor\Executer\StateMethodBase.cs,用于,Used for
Editor\Executer\StateMethodBase.cs,为,As
Editor\Executer\ToolNameAttribute.cs,用于标记工具方法类的名称和分组的特性,Used to mark the name and group attribute of a tool method class
Editor\Executer\ToolNameAttribute.cs,优先级高于通过类名自动转换的,Priority is higher than automatic conversion by class name
Editor\Executer\ToolNameAttribute.cs,工具方法的分组名称,Group name for tool method
Editor\Executer\ToolNameAttribute.cs,为空则使用默认分组,Use default group if empty
Editor\Executer\ToolNameAttribute.cs,工具方法的名称,Tool method name
Editor\Executer\ToolNameAttribute.cs,资源管理,Resource management
Editor\Executer\ToolNameAttribute.cs,层级管理,Hierarchy management
Editor\Executer\ToolNameAttribute.cs,通常使用,Normally used
Editor\Executer\ToolNameAttribute.cs,未分组,Not grouped
Editor\Executer\ToolNameAttribute.cs,初始化,Initialization
Editor\Executer\ToolNameAttribute.cs,格式,Format
Editor\Executer\ToolNameAttribute.cs,命名,Naming
Editor\Executer\ToolNameAttribute.cs,如,Such as
Editor\Executer\ToolNameAttribute.cs,等,Etc.
Editor\Executer\ToolsCall.cs,使用正则表达式在大写字母前添加下划线,Use regex to add underscores before uppercase letters
Editor\Executer\ToolsCall.cs,但我们可以获取成功加载的类型,But we can obtain the successfully loaded types
Editor\Executer\ToolsCall.cs,通过反射查找所有程序集中实现,Find all implementations in all assemblies via reflection
Editor\Executer\ToolsCall.cs,某些程序集可能无法完全加载,Some assemblies may not load completely
Editor\Executer\ToolsCall.cs,获取所有已注册的方法名称,Get all registered method names
Editor\Executer\ToolsCall.cs,确保所有方法通过反射注册,Ensure all methods are registered by reflection
Editor\Executer\ToolsCall.cs,遍历所有已加载的程序集,Iterate through all loaded assemblies
Editor\Executer\ToolsCall.cs,获取指定名称的工具方法,Get tool method by specified name
Editor\Executer\ToolsCall.cs,获取已注册的方法实例,Get registered method instance
Editor\Executer\ToolsCall.cs,忽略无法访问的程序集,Ignore inaccessible assemblies
Editor\Executer\ToolsCall.cs,已经注册的工具实例,Already registered tool instance
Editor\Executer\ToolsCall.cs,否则将类名转换为,Otherwise convert class name to
Editor\Executer\ToolsCall.cs,如果未找到则返回,Return if not found
Editor\Executer\ToolsCall.cs,供外部调用使用,For external invocation
Editor\Executer\ToolsCall.cs,否则转换类名为,Otherwise convert class name to
Editor\Executer\ToolsCall.cs,然后转换为小写,Then convert to lowercase
Editor\Executer\ToolsCall.cs,手动注册方法,Manually register method
Editor\Executer\ToolsCall.cs,创建方法实例,Create method instance
Editor\Executer\ToolsCall.cs,命名法转换为,Naming convention conversion to
Editor\Executer\ToolsCall.cs,双重检查锁定,Double-check locking
Editor\Executer\ToolsCall.cs,工具方法实例,Tool method instance
Editor\Executer\ToolsCall.cs,获取方法名称,Get method name
Editor\Executer\ToolsCall.cs,指定的名称,Specified name
Editor\Executer\ToolsCall.cs,供外部调用,For external call
Editor\Executer\ToolsCall.cs,检查是否有,Check if there is
Editor\Executer\ToolsCall.cs,确保不为,Ensure not
Editor\Executer\ToolsCall.cs,工具名称,Tool name
Editor\Executer\ToolsCall.cs,静态方法,Static method
Editor\Executer\ToolsCall.cs,接口的类,Class implementing the interface
Editor\Executer\ToolsCall.cs,内部方法,Internal method
Editor\Executer\ToolsCall.cs,同步版本,Synchronous version
Editor\Executer\ToolsCall.cs,工具实例,Tool instance
Editor\Executer\ToolsCall.cs,方法名称,Method name
Editor\Executer\ToolsCall.cs,方法类型,Method type
Editor\Executer\ToolsCall.cs,方法实例,Method instance
Editor\Executer\ToolsCall.cs,优先使用,Preferred use
Editor\Executer\ToolsCall.cs,命名法,Naming convention
Editor\Executer\ToolsCall.cs,例如,For example
Editor\Executer\ToolsCall.cs,名称,Name
Editor\Executer\ToolsCall.cs,形式,Form
Editor\Executer\ToolsCall.cs,将,Will
Editor\GUI\McpServiceGUI.cs,检查端口是否被外部进程占用时发生错误,Error occurred while checking if port is occupied by external process
Editor\GUI\McpServiceGUI.cs,请检查是否有其他进程占用了所有端口,Please check if other processes are occupying all ports
Editor\GUI\McpServiceGUI.cs,防止连续多次点击被判定为多个双击,Prevent multiple consecutive clicks from being treated as double-clicks
Editor\GUI\McpServiceGUI.cs,动态计算可用高度并应用到滚动视图,Dynamically calculate available height and apply to scroll view
Editor\GUI\McpServiceGUI.cs,根据参数名和描述推断类型和示例值,Infer type and example value from parameter name and description
Editor\GUI\McpServiceGUI.cs,窗口中定位到方法所在的脚本文件,Locate the script file of the method in the window
Editor\GUI\McpServiceGUI.cs,动态计算工具方法列表的可用高度,Dynamically calculate available height of tool method list
Editor\GUI\McpServiceGUI.cs,确保该方法在字典中有一个条目,Ensure the method has an entry in the dictionary
Editor\GUI\McpServiceGUI.cs,检查是否存在上次点击时间记录,Check whether there is a last click time record
Editor\GUI\McpServiceGUI.cs,如果是可选参数且无法推断类型,If it is optional and type cannot be inferred
Editor\GUI\McpServiceGUI.cs,计算按钮和程序集标签的位置,Calculate position of button and assembly label
Editor\GUI\McpServiceGUI.cs,根据参数名和描述生成示例值,Generate example value by parameter name and description
Editor\GUI\McpServiceGUI.cs,处理方法帮助按钮的点击事件,Handle click event of method help button
Editor\GUI\McpServiceGUI.cs,确保分组在折叠字典中有条目,Ensure group has an entry in the collapse dictionary
Editor\GUI\McpServiceGUI.cs,处理方法调试按钮的点击事件,Handle click event of method debug button
Editor\GUI\McpServiceGUI.cs,提供所有绘制功能的静态方法,Provide all drawing functionality as static methods
Editor\GUI\McpServiceGUI.cs,检查是否有任何端口在使用,Check if any port is in use
Editor\GUI\McpServiceGUI.cs,必需参数默认返回空字符串,Required parameters default return empty string
Editor\GUI\McpServiceGUI.cs,尝试直接使用类型名称查找,Try to look up directly by type name
Editor\GUI\McpServiceGUI.cs,查找并杀死占用端口的进程,Find and kill process occupying the port
Editor\GUI\McpServiceGUI.cs,标题行和日志开关在同一行,Title and log switch are on the same row
Editor\GUI\McpServiceGUI.cs,程序集信息显示在方法名后,Assembly info displayed after method name
